type,latency,P7,P4,Cz,Pz,P3,P8,O1,O2,FC6,F8,C4,F4,AF4,Fz,C3,F3,AF3,FC5,F7
0,1,-6.011806,-5.578866,-1.269524,-4.361017,-3.782885,-6.504828,-9.83341,-7.165559,-9.326593,-0.8756685,-2.687631,-1.716366,-9.307369,-1.708693,-7.562496,-5.589149,1.185286,-4.920392,-4.396632
0,2,-5.131738,-4.913339,-0.7858772,-3.884665,-3.235265,-5.827892,-9.106099,-5.868311,-9.88725,2.319961,-1.967824,-0.7117454,-6.35966,-2.548212,-6.418733,-4.405923,2.096528,-3.659491,-2.165036
0,3,-5.415762,-5.358207,-0.7612333,-3.865122,-3.217945,-5.707334,-9.781195,-5.854293,-9.381539,-0.3399094,-0.629869,-1.574137,-8.235722,-2.930737,-7.082855,-5.669628,1.408122,-2.95331,-4.216674
0,4,-6.826865,-5.249487,-1.226896,-4.049119,-3.004935,-5.96218,-11.24158,-6.127502,-10.0107,0.7130538,-1.317393,-2.113616,-8.258847,-2.996925,-8.980963,-7.045358,0.792389,-3.746274,-4.584794
0,5,-2.378498,-1.665102,1.627865,-0.8782768,0.5699759,-2.957682,-7.928459,-3.654539,-5.653441,4.09036,1.107473,1.541988,-4.816051,-0.3540387,-6.129217,-4.043069,5.306161,-1.559664,-0.9723215
0,6,-6.81085,-5.536642,-1.78482,-4.457306,-3.669936,-6.076123,-11.54881,-6.79666,-9.014828,-1.354454,-1.315177,-3.10726,-9.797935,-3.601646,-8.994133,-6.247686,-0.5495901,-4.45009,-5.978837
0,7,8.401379,7.002995,11.08185,8.281684,9.926112,6.460299,3.225407,5.692138,4.924595,14.05826,10.35596,10.32856,4.454131,9.014076,4.124905,7.226834,13.90527,9.429048,8.614365
0,8,15.33435,12.85029,14.77861,13.48873,15.82933,11.77112,10.13246,11.88801,9.621865,19.75033,13.03493,15.19341,10.24138,12.25675,10.40586,12.76229,19.67708,15.57968,16.19003
0,9,7.46849,5.694651,8.481232,6.937232,8.967409,5.370767,2.812932,5.728426,2.867973,11.36527,7.36136,8.157265,2.542292,4.93887,3.291092,5.917847,12.42057,8.448059,7.271592
0,10,2.167078,0.4676909,3.994413,1.657952,3.563473,0.5033106,-2.803488,1.215317,-1.862497,9.038831,2.031527,3.245114,-0.5073742,0.8592561,-0.9877464,1.598313,10.02638,3.140646,3.607088
0,11,-6.599191,-7.56008,-4.627194,-6.569889,-4.606102,-7.671937,-12.16602,-7.407172,-9.503156,-0.6831292,-6.630355,-6.06902,-9.10052,-7.040699,-9.333727,-7.692198,0.2581383,-4.727351,-6.660934
0,12,4.023099,2.411069,6.20816,3.734117,5.608993,3.198015,-1.966157,4.345248,0.8365539,9.302858,3.794605,5.625749,1.093846,5.045582,-0.3555777,3.051126,9.308163,5.257088,3.514337
0,13,3.547485,2.826287,7.453441,5.355321,8.098722,3.58797,1.772496,5.02319,1.320535,12.81697,4.104096,7.190279,4.851448,5.340605,1.603043,4.571325,11.33258,4.927781,6.78512
0,14,0.6108021,-0.5105426,5.018961,2.316253,4.685027,0.6977316,-2.758501,2.087748,-2.40066,8.691353,3.079532,2.938725,0.180228,2.48516,-1.359105,0.7343712,6.902796,2.036849,1.579225
0,15,0.8518752,0.3498989,7.223188,3.735757,6.166833,2.042438,-2.215297,3.240226,-0.5945073,10.88318,5.197587,5.158219,1.163814,3.940308,-0.819517,3.242403,8.570215,3.170329,3.09798
0,16,7.210197,4.274835,11.63841,8.028445,10.99244,7.139086,3.163894,9.299021,4.795699,17.76164,9.996367,10.37279,6.660655,10.16898,5.073177,9.802513,16.10148,5.841931,9.798485
0,17,3.234497,0.6372392,7.2431,3.694897,6.100253,2.453797,-1.265543,3.512088,0.01398769,12.89203,5.802969,5.703337,1.459232,6.442562,1.00809,5.433654,11.76164,1.495936,4.137647
0,18,-10.52629,-13.62724,-3.882586,-9.703288,-7.396846,-11.82555,-15.25741,-11.82554,-12.5743,0.7432561,-6.872768,-7.224021,-9.87882,-5.035715,-13.09914,-5.792184,0.08544538,-10.75919,-8.138295
0,19,-7.273359,-11.22175,-0.9457119,-6.892844,-4.232284,-9.216452,-12.49144,-8.842801,-10.28169,2.746909,-3.626585,-5.357303,-6.770042,-1.943624,-10.31226,-2.638939,2.440074,-6.972294,-4.093821
0,20,7.967905,3.504072,12.40133,7.522411,10.09585,5.300954,3.426871,6.212223,2.858612,16.48985,9.802232,9.19742,7.842638,12.62505,4.641868,10.81341,15.13361,6.803879,8.9956
0,21,9.43561,4.19756,13.19362,8.201987,11.18462,6.588126,4.513052,7.780818,5.823022,19.97883,10.1831,11.35807,10.92546,13.03153,7.32957,11.86063,18.54584,8.299659,12.28418
0,22,8.03784,2.868359,10.05406,6.291923,9.575882,5.115135,3.24743,6.501543,4.252036,18.17661,7.549135,10.10654,9.530051,10.11555,5.716278,10.76054,16.97933,6.724916,11.0706
0,23,6.632373,0.7003773,8.746647,4.663736,7.843219,3.218325,1.802182,4.347378,2.048336,15.70654,7.176041,8.751112,7.059066,8.711431,4.12993,9.023599,14.24984,5.52136,8.038773
