type,latency,P7,P4,Cz,Pz,P3,P8,O1,O2,FC6,F8,C4,F4,AF4,Fz,C3,F3,AF3,FC5,F7
0,1,0.8709634,3.899126,4.566831,8.771497,7.266483,-1.24047,-0.5850577,-12.71927,3.742623,2.39829,12.09364,2.349941,3.875454,-6.992748,0.1590591,-3.355433,-0.8980996,-8.807253,-2.407276
0,2,2.849504,7.099695,6.686019,12.5508,8.18983,1.956875,1.75597,-9.385474,5.944648,4.557204,16.78005,4.448092,6.668446,-4.783368,1.922254,-1.281892,1.103232,-5.124835,0.5059795
0,3,3.989757,9.706633,7.730124,14.90051,9.675788,3.968995,3.549578,-6.911005,7.713145,4.669343,19.0018,5.407677,7.508386,-5.323924,-1.283551,-3.321573,0.616336,-3.442377,1.033312
0,4,-3.883242,1.885907,-1.07434,6.898702,1.196924,-3.922497,-4.54774,-14.80373,-0.4851221,-2.476283,10.04787,-2.402212,-0.4172729,-11.25213,-7.203314,-8.249904,-4.823652,-10.58809,-5.467352
0,5,-4.219501,0.6178507,0.4238842,4.990583,0.003150016,-4.630203,-5.450326,-16.22004,-1.05845,-2.395416,8.957229,-2.202389,0.1921408,-8.158456,-3.584193,-4.334599,-3.341869,-10.78083,-4.548684
0,6,-3.787473,3.732769,2.197657,8.22325,0.7313951,-2.983629,-4.362814,-14.39405,0.3722435,-0.7128491,8.960585,-1.445771,3.450122,-8.042213,-6.046983,-7.483711,-2.453778,-9.692223,-4.04805
0,7,-16.03595,-7.931447,-8.78529,-4.356449,-12.57931,-14.2531,-16.88677,-26.86486,-10.17549,-9.870024,-1.875699,-10.36482,-5.49882,-16.96058,-16.72574,-16.28322,-13.32736,-20.59576,-14.49788
0,8,-11.14745,-4.144463,-4.631484,-0.5846021,-7.612687,-10.17254,-12.43296,-22.57792,-7.367775,-3.394401,2.670921,-5.994796,0.8764334,-10.52204,-9.246596,-9.699976,-7.564284,-16.16342,-9.493822
0,9,-10.23364,-2.253913,-4.070405,1.859159,-7.032749,-8.562856,-10.87278,-20.32224,-7.046371,-3.922669,3.768446,-6.448955,1.974356,-9.174339,-9.293412,-8.952702,-6.953562,-15.13736,-8.654726
0,10,-5.536503,2.859342,-0.2387781,6.302958,-1.944984,-3.800899,-6.035369,-15.79313,-3.254247,-0.01732088,9.248899,-2.371831,6.041049,-5.784624,-5.952294,-2.947611,-3.975662,-10.8379,-4.40486
0,11,-10.42922,-2.707103,-4.75973,1.293609,-7.060388,-9.088155,-11.29434,-21.67036,-7.786411,-4.311257,4.401259,-6.706855,1.525646,-9.325138,-9.450253,-6.249251,-7.693155,-15.50728,-8.527046
0,12,-21.3047,-14.68952,-14.31676,-9.840701,-18.94139,-19.82346,-22.32691,-33.20386,-16.94358,-14.1247,-7.536107,-15.65708,-7.649876,-15.75236,-16.40224,-12.21499,-15.73488,-26.96578,-17.98462
